Category,Location,Date,Price/kg,Source
PCB,Bhopal,08-08-26,₹390,Aggregator
Battery,Bhopal,08-08-26,₹101,Recycler
Mobile,Bhopal,08-08-26,₹208,Recycler
Keyboard,Bhopal,08-08-26,₹28,Recycler
Mouse,Bhopal,08-08-26,₹35,Recycler
Printer,Bhopal,08-08-26,₹16,Recycler
Television,Bhopal,08-08-26,₹19,Aggregator
Washing Machine,Bhopal,08-08-26,₹20,Recycler
Microwave,Bhopal,08-08-26,₹15,Aggregator
Player,Bhopal,08-08-26,₹45,Recycler
Cable,Bhopal,08-08-26,₹370,Recycler
LCD Panel,Bhopal,08-08-26,₹44,Recycler
Motor,Bhopal,08-08-26,₹69,Recycler
Magnet Assembly,Bhopal,08-08-26,₹89,Recycler
Metal,Bhopal,08-08-26,₹47,Recycler
Plastic,Bhopal,08-08-26,₹19,Recycler
Glass,Bhopal,08-08-26,₹5,Aggregator
PCB,Indore,08-08-26,₹437,Market Survey
Battery,Indore,08-08-26,₹102,Recycler
Mobile,Indore,08-08-26,₹196,Recycler
Keyboard,Indore,08-08-26,₹26,Aggregator
Mouse,Indore,08-08-26,₹36,Recycler
Printer,Indore,08-08-26,₹18,Recycler
Television,Indore,08-08-26,₹21,Recycler
Washing Machine,Indore,08-08-26,₹19,Aggregator
Microwave,Indore,08-08-26,₹15,Aggregator
Player,Indore,08-08-26,₹45,Aggregator
Cable,Indore,08-08-26,₹402,Recycler
LCD Panel,Indore,08-08-26,₹39,Recycler
Motor,Indore,08-08-26,₹74,Market Survey
Magnet Assembly,Indore,08-08-26,₹82,Aggregator
Metal,Indore,08-08-26,₹53,Recycler
Plastic,Indore,08-08-26,₹18,Recycler
Glass,Indore,08-08-26,₹5,Recycler
PCB,Raipur,08-08-26,₹397,Aggregator
Battery,Raipur,08-08-26,₹111,Recycler
Mobile,Raipur,08-08-26,₹195,Recycler
Keyboard,Raipur,08-08-26,₹28,Aggregator
Mouse,Raipur,08-08-26,₹34,Recycler
Printer,Raipur,08-08-26,₹17,Recycler
Television,Raipur,08-08-26,₹22,Market Survey
Washing Machine,Raipur,08-08-26,₹20,Market Survey
Microwave,Raipur,08-08-26,₹17,Recycler
Player,Raipur,08-08-26,₹45,Recycler
Cable,Raipur,08-08-26,₹354,Recycler
LCD Panel,Raipur,08-08-26,₹44,Recycler
Motor,Raipur,08-08-26,₹68,Recycler
Magnet Assembly,Raipur,08-08-26,₹92,Recycler
Metal,Raipur,08-08-26,₹47,Recycler
Plastic,Raipur,08-08-26,₹19,Market Survey
Glass,Raipur,08-08-26,₹5,Recycler
PCB,Nagpur,08-08-26,₹461,Market Survey
Battery,Nagpur,08-08-26,₹109,Recycler
Mobile,Nagpur,08-08-26,₹206,Recycler
Keyboard,Nagpur,08-08-26,₹26,Recycler
Mouse,Nagpur,08-08-26,₹34,Recycler
Printer,Nagpur,08-08-26,₹17,Aggregator
Television,Nagpur,08-08-26,₹22,Aggregator
Washing Machine,Nagpur,08-08-26,₹20,Recycler
Microwave,Nagpur,08-08-26,₹17,Recycler
Player,Nagpur,08-08-26,₹49,Recycler
Cable,Nagpur,08-08-26,₹392,Aggregator
LCD Panel,Nagpur,08-08-26,₹45,Recycler
Motor,Nagpur,08-08-26,₹70,Aggregator
Magnet Assembly,Nagpur,08-08-26,₹91,Recycler
Metal,Nagpur,08-08-26,₹52,Recycler
Plastic,Nagpur,08-08-26,₹20,Recycler
Glass,Nagpur,08-08-26,₹5,Aggregator
PCB,Pune,08-08-26,₹445,Aggregator
Battery,Pune,08-08-26,₹114,Recycler
Mobile,Pune,08-08-26,₹218,Recycler
Keyboard,Pune,08-08-26,₹26,Aggregator
Mouse,Pune,08-08-26,₹39,Market Survey
Printer,Pune,08-08-26,₹18,Aggregator
Television,Pune,08-08-26,₹23,Aggregator
Washing Machine,Pune,08-08-26,₹21,Aggregator
Microwave,Pune,08-08-26,₹18,Recycler
Player,Pune,08-08-26,₹48,Market Survey
Cable,Pune,08-08-26,₹405,Aggregator
LCD Panel,Pune,08-08-26,₹49,Recycler
Motor,Pune,08-08-26,₹75,Recycler
Magnet Assembly,Pune,08-08-26,₹102,Recycler
Metal,Pune,08-08-26,₹55,Recycler
Plastic,Pune,08-08-26,₹20,Aggregator
Glass,Pune,08-08-26,₹5,Recycler
PCB,Mumbai,08-08-26,₹446,Aggregator
Battery,Mumbai,08-08-26,₹105,Aggregator
Mobile,Mumbai,08-08-26,₹217,Aggregator
Keyboard,Mumbai,08-08-26,₹31,Recycler
Mouse,Mumbai,08-08-26,₹43,Market Survey
Printer,Mumbai,08-08-26,₹20,Recycler
Television,Mumbai,08-08-26,₹24,Recycler
Washing Machine,Mumbai,08-08-26,₹23,Recycler
Microwave,Mumbai,08-08-26,₹18,Recycler
Player,Mumbai,08-08-26,₹52,Recycler
Cable,Mumbai,08-08-26,₹404,Recycler
LCD Panel,Mumbai,08-08-26,₹48,Recycler
Motor,Mumbai,08-08-26,₹74,Recycler
Magnet Assembly,Mumbai,08-08-26,₹96,Recycler
Metal,Mumbai,08-08-26,₹54,Recycler
Plastic,Mumbai,08-08-26,₹22,Market Survey
Glass,Mumbai,08-08-26,₹5,Market Survey
PCB,Delhi,08-08-26,₹451,Aggregator
Battery,Delhi,08-08-26,₹114,Recycler
Mobile,Delhi,08-08-26,₹220,Recycler
Keyboard,Delhi,08-08-26,₹28,Aggregator
Mouse,Delhi,08-08-26,₹39,Recycler
Printer,Delhi,08-08-26,₹20,Recycler
Television,Delhi,08-08-26,₹24,Recycler
Washing Machine,Delhi,08-08-26,₹19,Aggregator
Microwave,Delhi,08-08-26,₹17,Market Survey
Player,Delhi,08-08-26,₹47,Aggregator
Cable,Delhi,08-08-26,₹414,Market Survey
LCD Panel,Delhi,08-08-26,₹49,Aggregator
Motor,Delhi,08-08-26,₹82,Recycler
Magnet Assembly,Delhi,08-08-26,₹100,Recycler
Metal,Delhi,08-08-26,₹52,Aggregator
Plastic,Delhi,08-08-26,₹20,Aggregator
Glass,Delhi,08-08-26,₹5,Aggregator
PCB,Noida,08-08-26,₹423,Recycler
