Recycler ID,Recycler name,Location,Accepted materials,Authorization status,Contact,Rate,Pickup availability,Service area
REC00001,EcoCycle Bhopal Recycling Services 0001,Bhopal,"Mixed Metal, Glass, PCB, LCD Panel, Printer, Microwave",Authorized,+91 9813707364,Mixed Metal: ₹34/kg | Glass: ₹2/kg | PCB: ₹429/kg | LCD Panel: ₹36/kg | Printer: ₹25/kg | Microwave: ₹20/kg,Yes,"Bhopal, Vidisha"
REC00002,GreenLoop Indore E-Waste Solutions 0002,Indore,"LCD Panel, Mixed Metal, Microwave, Magnet Assembly, Cable",Authorized,+91 9115772021,LCD Panel: ₹67/kg | Mixed Metal: ₹81/kg | Microwave: ₹9/kg | Magnet Assembly: ₹105/kg | Cable: ₹401/kg,Yes,Indore
REC00003,ReTech Raipur Recycler Hub 0003,Raipur,"Mixed Metal, Mobile, Battery",Authorized,+91 9947539410,Mixed Metal: ₹48/kg | Mobile: ₹348/kg | Battery: ₹89/kg,Yes,"Raipur, Durg"
REC00004,CleanEarth Bilaspur Recovery Centre 0004,Bilaspur,"Washing Machine, Television, Mobile, Motor, LCD Panel, Microwave",Authorized,+91 9308518024,Washing Machine: ₹22/kg | Television: ₹12/kg | Mobile: ₹337/kg | Motor: ₹61/kg | LCD Panel: ₹56/kg | Microwave: ₹21/kg,Yes,"Bilaspur, Raigarh"
REC00005,E-Waste Nagpur Circular Solutions 0005,Nagpur,"Glass, Mixed Plastic, Cable, Mixed Metal",Authorized,+91 9858738391,Glass: ₹7/kg | Mixed Plastic: ₹27/kg | Cable: ₹459/kg | Mixed Metal: ₹46/kg,Yes,"Nagpur, Wardha, Amravati"
REC00006,Circular Pune Resource Recovery 0006,Pune,"Mouse, Glass, Magnet Assembly",Authorized,+91 9508273506,Mouse: ₹51/kg | Glass: ₹1/kg | Magnet Assembly: ₹147/kg,Yes,"Pune, Satara, Pimpri-Chinchwad"
REC00007,RenewTech Mumbai Green Processing 0007,Mumbai,"Printer, Mixed Metal, LCD Panel",Authorized,+91 9537255586,Printer: ₹14/kg | Mixed Metal: ₹59/kg | LCD Panel: ₹64/kg,Yes,"Mumbai, Navi Mumbai"
REC00008,GreenCircuit Nashik Materials Recycling 0008,Nashik,"Keyboard, CRT, Mixed Metal, PCB, Magnet Assembly, Washing Machine",Authorization Verification Pending,+91 9724373491,Keyboard: ₹15/kg | CRT: ₹10/kg | Mixed Metal: ₹72/kg | PCB: ₹441/kg | Magnet Assembly: ₹147/kg | Washing Machine: ₹31/kg,Yes,"Nashik, Ahmednagar, Malegaon"
REC00009,UrbanRecycle Delhi Sustainable Recycling 0009,Delhi,"LCD Panel, Motor, Glass, PCB, Washing Machine, Mouse, CRT, Magnet Assembly",Authorization Verification Pending,+91 9959374454,LCD Panel: ₹63/kg | Motor: ₹67/kg | Glass: ₹9/kg | PCB: ₹528/kg | Washing Machine: ₹11/kg | Mouse: ₹43/kg | CRT: ₹12/kg | Magnet Assembly: ₹85/kg,Yes,"Delhi, Gurugram"
REC00010,EcoLink Noida Collection & Recycling 0010,Noida,"Cable, PCB, Microwave, Battery, Mobile, Magnet Assembly",Authorized,+91 9103235353,Cable: ₹450/kg | PCB: ₹530/kg | Microwave: ₹21/kg | Battery: ₹183/kg | Mobile: ₹322/kg | Magnet Assembly: ₹67/kg,No,"Noida, Ghaziabad"
REC00011,RecyclePro Jaipur Recycling Services 0011,Jaipur,"LCD Panel, Battery, Mixed Plastic, Magnet Assembly, Printer, PCB",Authorized,+91 9696196194,LCD Panel: ₹75/kg | Battery: ₹159/kg | Mixed Plastic: ₹27/kg | Magnet Assembly: ₹132/kg | Printer: ₹12/kg | PCB: ₹464/kg,Yes,"Jaipur, Ajmer, Tonk"
REC00012,EnviroCycle Kota E-Waste Solutions 0012,Kota,"Motor, Glass, Battery",Authorized,+91 9624110627,Motor: ₹90/kg | Glass: ₹3/kg | Battery: ₹98/kg,Yes,"Kota, Bundi"
REC00013,EarthLoop Ahmedabad Recycler Hub 0013,Ahmedabad,"Battery, Mouse, Magnet Assembly",Authorized,+91 9272397472,Battery: ₹187/kg | Mouse: ₹29/kg | Magnet Assembly: ₹141/kg,No,"Ahmedabad, Gandhinagar"
REC00014,GreenMine Surat Recovery Centre 0014,Surat,"PCB, Washing Machine, Mixed Metal, Magnet Assembly, Mixed Plastic",Authorized,+91 9670021088,PCB: ₹426/kg | Washing Machine: ₹32/kg | Mixed Metal: ₹64/kg | Magnet Assembly: ₹141/kg | Mixed Plastic: ₹17/kg,No,"Surat, Bharuch"
REC00015,RecoverX Vadodara Circular Solutions 0015,Vadodara,"Mixed Metal, Battery, Microwave, Glass, Washing Machine, Keyboard, Mouse",Authorized,+91 9788143831,Mixed Metal: ₹31/kg | Battery: ₹159/kg | Microwave: ₹11/kg | Glass: ₹6/kg | Washing Machine: ₹31/kg | Keyboard: ₹39/kg | Mouse: ₹41/kg,Yes,"Vadodara, Anand, Bharuch"
REC00016,ScrapSmart Bengaluru Resource Recovery 0016,Bengaluru,"Television, Printer, Motor, Battery, Mixed Metal, Microwave, Mouse, Glass",Authorized,+91 9350627978,Television: ₹27/kg | Printer: ₹26/kg | Motor: ₹79/kg | Battery: ₹104/kg | Mixed Metal: ₹70/kg | Microwave: ₹12/kg | Mouse: ₹30/kg | Glass: ₹3/kg,Yes,Bengaluru
REC00017,EcoRecover Mysuru Green Processing 0017,Mysuru,"Motor, Microwave, Printer, CRT, Keyboard, Glass, Mouse",Authorized,+91 9531510410,Motor: ₹59/kg | Microwave: ₹20/kg | Printer: ₹30/kg | CRT: ₹7/kg | Keyboard: ₹20/kg | Glass: ₹7/kg | Mouse: ₹57/kg,Yes,"Mysuru, Hassan"
REC00018,WasteWise Hyderabad Materials Recycling 0018,Hyderabad,"Mouse, CRT, Mixed Metal, Television, Mixed Plastic",Authorized,+91 9351527323,Mouse: ₹48/kg | CRT: ₹14/kg | Mixed Metal: ₹62/kg | Television: ₹17/kg | Mixed Plastic: ₹15/kg,No,"Hyderabad, Secunderabad"
REC00019,CircularGrid Vijayawada Sustainable Recycling 0019,Vijayawada,"Printer, Glass, Microwave, Magnet Assembly",Authorization Renewal Pending,+91 9743013311,Printer: ₹11/kg | Glass: ₹5/kg | Microwave: ₹9/kg | Magnet Assembly: ₹125/kg,No,"Vijayawada, Tenali"
REC00020,GreenBridge Visakhapatnam Collection & Recycling 0020,Visakhapatnam,"Battery, Printer, Mixed Plastic, CRT, Glass, Microwave, Television",Authorized,+91 9124746444,Battery: ₹84/kg | Printer: ₹13/kg | Mixed Plastic: ₹16/kg | CRT: ₹13/kg | Glass: ₹7/kg | Microwave: ₹23/kg | Television: ₹38/kg,Yes,"Visakhapatnam, Srikakulam, Vizianagaram"
REC00021,EcoCycle Chennai Recycling Services 0021,Chennai,"Mixed Metal, Television, Mobile, CRT, Glass, Microwave, Motor, Keyboard",Authorized,+91 9509847325,Mixed Metal: ₹84/kg | Television: ₹22/kg | Mobile: ₹303/kg | CRT: ₹7/kg | Glass: ₹10/kg | Microwave: ₹27/kg | Motor: ₹52/kg | Keyboard: ₹35/kg,Yes,Chennai
REC00022,GreenLoop Coimbatore E-Waste Solutions 0022,Coimbatore,"Mobile, Washing Machine, Motor, Microwave",Authorized,+91 9995791737,Mobile: ₹253/kg | Washing Machine: ₹14/kg | Motor: ₹106/kg | Microwave: ₹18/kg,Yes,"Coimbatore, Tiruppur, Erode"
REC00023,ReTech Madurai Recycler Hub 0023,Madurai,"Mixed Plastic, Printer, Magnet Assembly, Cable",Authorized,+91 9301721862,Mixed Plastic: ₹32/kg | Printer: ₹25/kg | Magnet Assembly: ₹109/kg | Cable: ₹333/kg,Yes,Madurai
REC00024,CleanEarth Kolkata Recovery Centre 0024,Kolkata,"Printer, Television, Battery, Magnet Assembly, Washing Machine, Microwave, Glass, Mixed Plastic",Authorized,+91 9947850559,Printer: ₹24/kg | Television: ₹10/kg | Battery: ₹116/kg | Magnet Assembly: ₹142/kg | Washing Machine: ₹20/kg | Microwave: ₹19/kg | Glass: ₹8/kg | Mixed Plastic: ₹25/kg,Yes,"Kolkata, Hooghly"
REC00025,E-Waste Siliguri Circular Solutions 0025,Siliguri,"Mouse, Motor, Mobile, Glass, Washing Machine, Microwave",Authorization Renewal Pending,+91 9698081379,Mouse: ₹54/kg | Motor: ₹76/kg | Mobile: ₹263/kg | Glass: ₹1/kg | Washing Machine: ₹17/kg | Microwave: ₹28/kg,Yes,"Siliguri, Jalpaiguri"
