Lot ID,Material,Weight,Quoted price,Final price,Recycler,Status,Date/time,Location,Payment status
LOT260101004549,CRT,6.86 kg,₹91.87,₹95.88,EnviroCycle Shillong E-Waste Solutions 3152,Completed,01-01-2026 08:34,Shillong,Paid
LOT260101015133,Television,32.75 kg,₹386.99,₹398.63,EcoLink Patna Collection & Recycling 0030,Completed,01-01-2026 08:41,Patna,Paid
LOT260101001280,Mixed Metal,10.62 kg,₹630.98,₹559.02,ScrapSmart Vadodara Resource Recovery 0816,Completed,01-01-2026 09:03,Vadodara,Paid
LOT260101014099,Glass,10.27 kg,₹21.87,₹23.24,UrbanRecycle Panaji Sustainable Recycling 2189,Completed,01-01-2026 09:03,Panaji,Paid
LOT260101008147,Glass,26.34 kg,₹298.21,₹277.60,ReTech Shillong Recycler Hub 3063,Handover Confirmed,01-01-2026 09:07,Shillong,Paid
LOT260101018608,Magnet Assembly,11.05 kg,"₹1,023.06","₹1,015.36",ReTech Jamshedpur Recycler Hub 0923,Completed,01-01-2026 09:34,Jamshedpur,Paid
LOT260101016672,LCD Panel,10.26 kg,₹525.82,₹497.31,GreenCircuit Varanasi Materials Recycling 3588,Handover Confirmed,01-01-2026 10:11,Varanasi,Pending
LOT260101001894,Television,19.0 kg,₹676.54,₹658.02,RenewTech Nashik Green Processing 0987,Completed,01-01-2026 10:19,Nashik,Paid
LOT260101001413,Motor,18.81 kg,"₹1,256.79","₹1,245.64",ReTech Hisar Recycler Hub 2563,Completed,01-01-2026 10:34,Hisar,Pending
LOT260101019568,Microwave,22.47 kg,₹458.83,₹540.58,UrbanRecycle Bareilly Sustainable Recycling 1749,Completed,01-01-2026 10:40,Bareilly,Paid
LOT260101014996,Microwave,20.38 kg,₹550.22,₹521.72,EnviroCycle Bokaro E-Waste Solutions 3372,Pending Pickup,01-01-2026 11:11,Bokaro,Pending
LOT260101012593,Microwave,16.8 kg,₹276.33,₹269.54,UrbanRecycle Roorkee Sustainable Recycling 0789,Completed,01-01-2026 11:25,Roorkee,Pending
LOT260101006714,LCD Panel,10.51 kg,₹491.10,₹460.52,E-Waste Ludhiana Circular Solutions 4225,Completed,01-01-2026 11:32,Ludhiana,Paid
LOT260101010556,Battery,0.62 kg,₹52.44,₹51.23,ReTech Panaji Recycler Hub 0943,Completed,01-01-2026 11:44,Panaji,Paid
LOT260101010637,Glass,30.59 kg,₹113.18,₹116.16,RenewTech Noida Green Processing 2947,Completed,01-01-2026 11:55,Noida,Paid
LOT260101001286,Keyboard,6.66 kg,₹231.66,₹222.74,E-Waste Ludhiana Circular Solutions 2445,Cancelled,01-01-2026 12:21,Ludhiana,Not Applicable
LOT260101000784,Mouse,2.45 kg,₹117.76,₹115.51,Circular Imphal Resource Recovery 4766,Completed,01-01-2026 12:27,Imphal,Partial Payment
LOT260101006634,PCB,3.3 kg,"₹1,447.94","₹1,365.66",GreenLoop Aurangabad E-Waste Solutions 3802,Handover Confirmed,01-01-2026 12:50,Aurangabad,Paid
LOT260101018649,Motor,19.96 kg,"₹1,019.36","₹1,055.80",RecoverX Nagpur Circular Solutions 4455,Completed,01-01-2026 13:12,Nagpur,Paid
LOT260101017074,Glass,26.86 kg,₹209.05,₹202.52,GreenLoop Jaipur E-Waste Solutions 1702,Pending Pickup,01-01-2026 13:30,Jaipur,Pending
LOT260101018144,Microwave,25.08 kg,₹240.21,₹232.10,RecoverX Ranchi Circular Solutions 0655,Completed,01-01-2026 13:41,Ranchi,Paid
LOT260101007198,Mixed Metal,58.09 kg,"₹2,837.00","₹2,530.35",Circular Asansol Resource Recovery 1246,Pending Pickup,01-01-2026 13:55,Asansol,Pending
LOT260101008660,Television,25.77 kg,₹427.59,₹407.79,Circular Madurai Resource Recovery 4206,Quoted,01-01-2026 14:16,Madurai,Pending
LOT260101000615,CRT,9.44 kg,₹111.58,₹110.39,GreenBridge Gangtok Collection & Recycling 2900,Completed,01-01-2026 14:47,Gangtok,Paid
LOT260101011457,Keyboard,6.89 kg,₹139.60,₹142.71,EcoLink Gwalior Collection & Recycling 1130,Completed,01-01-2026 14:52,Gwalior,Paid
LOT260101010848,Magnet Assembly,13.38 kg,"₹1,423.71","₹1,427.33",RenewTech Chandigarh Green Processing 3067,Handover Confirmed,01-01-2026 15:16,Chandigarh,Paid
LOT260101016883,Printer,19.88 kg,₹267.25,₹255.13,WasteWise Kanpur Materials Recycling 3498,Completed,01-01-2026 15:23,Kanpur,Paid
LOT260101004041,Television,6.16 kg,₹220.55,₹231.84,EcoLink Prayagraj Collection & Recycling 0830,Completed,01-01-2026 15:56,Prayagraj,Pending
LOT260101003224,Glass,3.9 kg,₹12.84,₹11.62,GreenLoop Tirupati E-Waste Solutions 4622,Completed,01-01-2026 16:00,Tirupati,Paid
